title,categories,disposals,description,warnings
Kupplungsträger für Fahrräder,Elektrogeräte,"Wertstoffhof,Deponie","Radträger für Anhängekupplungen zählen auf Grund der eingebauten Elektronikteile zu den Großelektronikgeräten. Sie können kostenfrei auf den Deponien Hannover (Lahe), Burgdorf und Kolenfeld, sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden (max. 2 Großgeräte pro Tag).",
Kunststoffverpackung,Leichtverpackungen,Gelbe Tonne,"Leichtverpackungen (LVP) sind Verkaufsverpackungen aus Kunststoffen, Metallen oder Materialverbunden. Zu den Leichtverpackungen gehören z. B. Joghurtbecher, Kunststoffflaschen und -folien. Leichtverpackungen werden im Stadtgebiet von Hannover und in der Region Hannover in der kostenfreien gelben Tonne gesammelt, anschließend sortiert und einer Verwertung zugeführt.Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha. ",
Kunststoff,Wertstoff,Wertstoffhof,"Größere Gegenstände aus Hartkunststoff, wie Stühle, Tische, Wannen, Fässer, Rohre, Gießkannen werden auf den Wertstoffhöfen im PE/PP (Polyethylen/Polypropylen)-Container gesammelt und einer Verwertung zugeführt. Wer die genannten Abfälle nicht zu einem der Wertstoffhöfe bringen kann, meldet diese Teile bei der Sperrmüllabfuhr zur Abholung an.Verpackungsabfälle aus Kunststoff, wie Becher, Folien, Flaschen, gehören in den gelben Wertstoffcontainer. Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha.",
Kunststoffputze,"Sonderabfall,Restabfall,Wertstoff","Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Binderfarben sind wasserlöslich und zählen nicht zu den gefährlichen Abfällen, verursachen uneingedickt allerding böse Flecken. Eingetrocknete oder eingedickte (mit Sand, Gips oder Sägespäne vermischte Binderfarbe) können dem Restabfall über die Restabfalltonne zugeführt werden.Flüssige Binderfarben geben Sie bitte an den Wertstoffhöfen der Region Hannover oder der Deponie Hannover im Sonderabfallzwischenlager ab.",
Joghurtbecher,Leichtverpackungen,Gelbe Tonne,"Leichtverpackungen (LVP) sind Verkaufsverpackungen aus Kunststoffen, Metallen oder Materialverbunden. Zu den Leichtverpackungen gehören z. B. Joghurtbecher, Kunststoffflaschen und -folien. Leichtverpackungen werden im Stadtgebiet von Hannover und in der Region Hannover in der kostenfreien gelben Tonne gesammelt, anschließend sortiert und einer Verwertung zugeführt.Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha. ",
Duschwanne,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Sperrabfall sind bewegliche Gegenstände aus Privathaushalten, die selbst nach einer zumutbaren Zerkleinerung auf Grund ihrer Sperrigkeit, ihres Gewichtes oder ihrer Materialbeschaffenheit nicht in die Restabfallbehälter und -zusatzsäcke passen, wie z. B. Tisch und Stühle, Sofas, Sessel, Polster, Bettgestelle aus Holz oder Kunststoff, Matratzen usw.5 m³ Sperrabfall können Sie kostenlos abholen lassen. Dabei sollten die Gegenstände eine Länge von 2 m und eine Gewicht von max. 75 kg nicht überschreiten. Bitte vereinbaren Sie einen Termin - online oder telefonisch.Wichtiger Hinweis: Glastische können nicht bei der Sperrabfallabfuhr mitgenommen werden. Bitte bringen Sie diese für die Entsorgung zu den Wertstoffhöfe oder Deponien.",
Fußbodenbeläge,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Teppiche, Teppichboden, PVC-(Polyvinylchlorid)-Boden, Linoleum u. a. gehören zum Sperrabfall. Sie können diese Beläge aus Privathaushalten bis zur Menge von 5 m³ bei der kostenlosen Sperrmüllabholung anmelden oder bis zur Menge von 1 m³ pro Tag selber an einem der Wertstoffhöfe abgeben.       ",
Füllschaum,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Fugenkleber,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Frittierfette/Speiseöle,Restabfall,Restabfalltonne,"Fette und Öle in kleinen Mengen können erkaltet in den Restabfall gegeben werden. Bitte füllen Sie diese vorher in ein Behältnis.Größere Mengen aus Gaststätten und anderen Gewerbebetrieben müssen Sie über Spezialfirmen entsorgen bzw. verwerten lassen, s. Gelbe Seiten.",
Frostschutzmittel,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Fotos/Fotopapier,Restabfall,Restabfalltonne,Fotopapier gehört in den Restabfallbehälter. Es ist ein beschichtetes Papier und kann nicht verwertet werden.,
Fotonegative/ Negative,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Fotokopiergeräte,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Fön,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
"Folien, PE-Folien",Leichtverpackungen,Gelbe Tonne,"Leichtverpackungen (LVP) sind Verkaufsverpackungen aus Kunststoffen, Metallen oder Materialverbunden. Zu den Leichtverpackungen gehören z. B. Joghurtbecher, Kunststoffflaschen und -folien. Leichtverpackungen werden im Stadtgebiet von Hannover und in der Region Hannover in der kostenfreien gelben Tonne gesammelt, anschließend sortiert und einer Verwertung zugeführt.Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha. ",
Fotochemikalien,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Floor Flex-Platten,,Deponie Hannover - Sonderabfallannahmestelle,Asbestabfälle zählen zur Gruppe der gefährlichen Abfälle (Sonderabfall). Bis zu 16 kg luftdicht verpacktes Asbest wird auf der Deponie Hannover gebührenfrei entgegengenommen. Bitte melden Sie Ihre Anlieferung unbedingt vorher telefonisch an: 0511 9911- 678 29.Hinweise zur Entsorgung und eine Gebührenübersicht finden Sie auf unserem Infoblatt Asbestannahme.,
Fliesenkleber flüssig / angemischt,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Fliesen,Wertstoff,"Wertstoffhof,Deponie Hannover Lahe","Ausschließlich aus Privathaushalten wird Bauschutt (mineralische Abfälle wie z. B. Ziegel, Steine, Fliesen, Mörtel, Sanitärkeramik und auch Porzellan, Tontöpfe) bis zur Menge von 150 Liter pro Tag an den Wertstoffhöfen kostenlos angenommen.Größere Mengen Bauschutt (mehr als 150 Liter) aus Privathaushalten, die nicht verwertbar sind wie z.b. Bauschutt verunreinigt mit Boden oder Mineral, können kostenpflichtig auf der Deponie Lahe abgegeben werden. Siehe Gebührengruppe C. Wichtig: Der angelieferte Bauschutt muss eigenhändig abgeladen werden.Größere Mengen Bauschutt (mehr als 150 Liter) aus Privathaushalten, die verwertbar sind, können nicht angenommen werden. Dieser ist einer Verwertungsanlage zuzuführen.Der Bauschutt aus Privathaushalten darf keine Verunreinigungen wie z.B. Gasbetonsteine, Bimssteine, usw. enthalten. Ebenfalls dürfen keine wassergefährdenden Stoffe, Teerprodukte, asbesthaltige Materialien oder andere Sonderabfälle den Bauschutt verunreinigen wie z.B. Schornsteinabbruch. Belasteter Bauschutt wird nicht angenommen.Bauschutt von Gewerbe wird nicht angenommen!",
Flüssigkleber,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Klebstoffe gehören zu den gefährlichen Abfällen (Sonderabfall). Bis zu 30 Kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle täglich können Sie kostenlos auf den Wertstoffhöfen der Region Hannover oder der Deponie Hannover im Sonderabfallzwischenlager abgeben. Größere Mengen können Sie kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover abgeben. Bitte beachten Sie hierzu die Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrecht stehend (z.B in einer Wanne, die Behälter aufrecht hält).Natürliche Klebstoffe, die aus pflanzlichen oder tierischen Produkten hergestellt werden, können über den Restabfall entsorgt werden.",
Fliesenkleber ausgehärtet / pulverförmig,Sperrabfall,"Wertstoffhof,Deponie","Bis zu 1m³ an ausgehärtetem oder pulverförmigen Fliesenkleber, aus dem Privathaushalt, kann kostenfrei auf den Wertstoffhöfen oder den Deponien der Region Hannover über den Sperrabfallcontainer entsorgt werden. Größere Mengen werden auf den Deponien gegen Gebühr entgegen genommen.",
Fleischreste,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
"Fleisch und Speisen, verdorben",Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Fleckentferner,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Fischreste,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Flaschen,Wertstoff,"Wertstoffhof,Wertstoffinsel","Glas, wie z. B. Marmeladen- und Honiggläser, Gemüsegläser, Würstchengläser usw., kann über die Glascontainer (Iglus), die Sie bei allen Wertstoffhöfen, Deponien und auf allen aha-Wertstoffinseln in der Region Hannover finden, entsorgt werden.Bitte denken Sie daran:Glasgeschirr wie Bier-, Schnaps-, Weingläser usw. sind über die Restabfalltonne zu entsorgen. Um Verletzungen durch Glasscherben zu vermeiden, bitten wir Sie, Scherben vor der Entsorgung einzuwickeln (z. B in eine Zeitung).Glaspfandflaschen können zur Wiederverwertung an den Einzelhandel zurückgegeben werden.Bitte beachten Sie: aha sammelt das Glas nicht ein. Die Duales System Deutschland GmbH (DSD) hat damit für das Gebiet der Region Hannover eine Privatfirma beauftragt.Infos unter Tel. +49 2306 1060, Remondis",
Fieberthermometer,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Thermometer, die Quecksilber enthalten, gehören zu den gefährlichen Abfällen (Sonderabfall). Diese können kostenfrei auf den Wertstoffhöfen als Sonderabfall oder der Deponien Lahe an der Sonderabfallannahmestelle abgegeben werden.Fieberthermometer, die mit Batterien betrieben werden, können nach Entfernung der Batterie als Elektrokleingerät kostenlos auf den Wertstoffhöfen und Deponien der Region Hannover abgegeben werden.",
